Time,Feedback
"Instant { tv_sec: 1774670, tv_nsec: 497562177 }",-1.5280001
"Instant { tv_sec: 1774670, tv_nsec: 497609509 }",-1.536
"Instant { tv_sec: 1774670, tv_nsec: 513746048 }",-1.526
"Instant { tv_sec: 1774670, tv_nsec: 513811860 }",-1.2270001
"Instant { tv_sec: 1774670, tv_nsec: 529707183 }",-1.1960001
"Instant { tv_sec: 1774670, tv_nsec: 529775819 }",-1.4940001
"Instant { tv_sec: 1774670, tv_nsec: 545936611 }",-1.4890001
"Instant { tv_sec: 1774670, tv_nsec: 546040813 }",-1.363
"Instant { tv_sec: 1774670, tv_nsec: 546107906 }",-1.5150001
"Instant { tv_sec: 1774670, tv_nsec: 546151620 }",-1.4720001
"Instant { tv_sec: 1774670, tv_nsec: 561975152 }",-1.4760001
"Instant { tv_sec: 1774670, tv_nsec: 562109987 }",-1.1600001
"Instant { tv_sec: 1774670, tv_nsec: 577960289 }",-1.3840001
"Instant { tv_sec: 1774670, tv_nsec: 578110995 }",-1.0990001
"Instant { tv_sec: 1774670, tv_nsec: 578185621 }",-1.4050001
"Instant { tv_sec: 1774670, tv_nsec: 593766240 }",-1.2930001
"Instant { tv_sec: 1774670, tv_nsec: 609880578 }",-1.264
"Instant { tv_sec: 1774670, tv_nsec: 610026949 }",-1.21
"Instant { tv_sec: 1774670, tv_nsec: 625697361 }",-1.4070001
"Instant { tv_sec: 1774670, tv_nsec: 625843821 }",-1.4350001
"Instant { tv_sec: 1774670, tv_nsec: 625955875 }",-1.422
"Instant { tv_sec: 1774670, tv_nsec: 641805132 }",-1.391
"Instant { tv_sec: 1774670, tv_nsec: 641953993 }",-1.4840001
"Instant { tv_sec: 1774670, tv_nsec: 642028856 }",-1.5410001
"Instant { tv_sec: 1774670, tv_nsec: 657736835 }",-1.383
"Instant { tv_sec: 1774670, tv_nsec: 657886353 }",-1.304
"Instant { tv_sec: 1774670, tv_nsec: 674028706 }",-1.393
"Instant { tv_sec: 1774670, tv_nsec: 689965227 }",-1.3030001
"Instant { tv_sec: 1774670, tv_nsec: 690097782 }",-1.3570001
"Instant { tv_sec: 1774670, tv_nsec: 705640404 }",-1.128
"Instant { tv_sec: 1774670, tv_nsec: 705844001 }",-1.4330001
"Instant { tv_sec: 1774670, tv_nsec: 721759693 }",-1.289
